#    L    TT             EE             BB             TE             PP             PT             PE         
   157    4.60839E+03    1.06846E+00    1.67628E-02   -4.56397E+01    7.24176E-08    2.11713E-04   -9.60638E-07
   158    4.63930E+03    1.06047E+00    1.66875E-02   -4.54837E+01    7.20069E-08    2.09834E-04   -9.50210E-07
   159    4.66996E+03    1.05214E+00    1.66169E-02   -4.53020E+01    7.15996E-08    2.07976E-04   -9.39406E-07
   160    4.70038E+03    1.04348E+00    1.65510E-02   -4.50946E+01    7.11956E-08    2.06139E-04   -9.28246E-07
   161    4.73052E+03    1.03452E+00    1.64899E-02   -4.48611E+01    7.07950E-08    2.04323E-04   -9.16750E-07
   162    4.76039E+03    1.02527E+00    1.64336E-02   -4.46015E+01    7.03978E-08    2.02527E-04   -9.04941E-07
   163    4.78996E+03    1.01575E+00    1.63822E-02   -4.43154E+01    7.00038E-08    2.00753E-04   -8.92838E-07
   164    4.81922E+03    1.00597E+00    1.63358E-02   -4.40027E+01    6.96131E-08    1.98999E-04   -8.80463E-07
   165    4.84817E+03    9.95958E-01    1.62944E-02   -4.36633E+01    6.92256E-08    1.97266E-04   -8.67838E-07
   166    4.87679E+03    9.85726E-01    1.62581E-02   -4.32970E+01    6.88414E-08    1.95553E-04   -8.54982E-07
   167    4.90508E+03    9.75300E-01    1.62270E-02   -4.29037E+01    6.84604E-08    1.93860E-04   -8.41918E-07
   168    4.93302E+03    9.64702E-01    1.62010E-02   -4.24835E+01    6.80826E-08    1.92187E-04   -8.28665E-07
   169    4.96062E+03    9.53956E-01    1.61804E-02   -4.20362E+01    6.77080E-08    1.90533E-04   -8.15246E-07
   170    4.98785E+03    9.43075E-01    1.61651E-02   -4.15617E+01    6.73365E-08    1.88900E-04   -8.01680E-07
   171    5.01471E+03    9.32091E-01    1.61551E-02   -4.10601E+01    6.69681E-08    1.87286E-04   -7.87990E-07
   172    5.04121E+03    9.21025E-01    1.61507E-02   -4.05312E+01    6.66028E-08    1.85691E-04   -7.74195E-07
   173    5.06731E+03    9.09901E-01    1.61517E-02   -3.99750E+01    6.62406E-08    1.84116E-04   -7.60318E-07
   174    5.09302E+03    8.98740E-01    1.61584E-02   -3.93916E+01    6.58814E-08    1.82559E-04   -7.46378E-07
   175    5.11833E+03    8.87580E-01    1.61707E-02   -3.87811E+01    6.55253E-08    1.81022E-04   -7.32397E-07
   176    5.14322E+03    8.76437E-01    1.61886E-02   -3.81433E+01    6.51722E-08    1.79503E-04   -7.18393E-07
   177    5.16770E+03    8.65347E-01    1.62122E-02   -3.74784E+01    6.48220E-08    1.78003E-04   -7.04368E-07
   178    5.19174E+03    8.54333E-01    1.62412E-02   -3.67863E+01    6.44748E-08    1.76521E-04   -6.90322E-07
   179    5.21534E+03    8.43418E-01    1.62758E-02   -3.60671E+01    6.41305E-08    1.75056E-04   -6.76256E-07
   180    5.23851E+03    8.32639E-01    1.63156E-02   -3.53210E+01    6.37891E-08    1.73608E-04   -6.62169E-07
   181    5.26121E+03    8.22026E-01    1.63608E-02   -3.45480E+01    6.34506E-08    1.72177E-04   -6.48061E-07
   182    5.28346E+03    8.11610E-01    1.64111E-02   -3.37482E+01    6.31148E-08    1.70763E-04   -6.33932E-07
   183    5.30525E+03    8.01412E-01    1.64665E-02   -3.29218E+01    6.27819E-08    1.69364E-04   -6.19781E-07
   184    5.32655E+03    7.91471E-01    1.65269E-02   -3.20690E+01    6.24518E-08    1.67981E-04   -6.05609E-07
   185    5.34738E+03    7.81824E-01    1.65923E-02   -3.11897E+01    6.21244E-08    1.66613E-04   -5.91415E-07
   186    5.36771E+03    7.72493E-01    1.66625E-02   -3.02843E+01    6.17997E-08    1.65260E-04   -5.77199E-07
   187    5.38755E+03    7.63509E-01    1.67374E-02   -2.93528E+01    6.14777E-08    1.63921E-04   -5.62961E-07
   188    5.40688E+03    7.54912E-01    1.68170E-02   -2.83956E+01    6.11584E-08    1.62596E-04   -5.48701E-07
   189    5.42571E+03    7.46734E-01    1.69011E-02   -2.74128E+01    6.08417E-08    1.61284E-04   -5.34418E-07
   190    5.44401E+03    7.39009E-01    1.69897E-02   -2.64047E+01    6.05276E-08    1.59986E-04   -5.20112E-07
   191    5.46179E+03    7.31770E-01    1.70828E-02   -2.53716E+01    6.02161E-08    1.58700E-04   -5.05784E-07
   192    5.47904E+03    7.25051E-01    1.71801E-02   -2.43135E+01    5.99071E-08    1.57426E-04   -4.91433E-07
   193    5.49574E+03    7.18886E-01    1.72816E-02   -2.32308E+01    5.96006E-08    1.56165E-04   -4.77058E-07
   194    5.51190E+03    7.13311E-01    1.73873E-02   -2.21238E+01    5.92966E-08    1.54914E-04   -4.62660E-07
