#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
 182     8.79297e-01     9.65832e-03     2.96610e-03     3.70960e-02     2.54369e-03    -7.48174e-03
 183     8.65402e-01     9.46985e-03     2.66053e-03     3.63969e-02     2.82287e-03    -8.68329e-03
 184     8.49791e-01     9.14842e-03     2.60477e-03     3.54681e-02     2.91590e-03    -1.05983e-02
 185     8.31493e-01     8.71834e-03     2.76500e-03     3.43910e-02     2.82717e-03    -1.29869e-02
 186     8.10067e-01     8.22017e-03     3.08998e-03     3.32740e-02     2.57872e-03    -1.55558e-02
 187     7.85896e-01     7.70758e-03     3.51745e-03     3.22431e-02     2.20841e-03    -1.79981e-02
 188     7.59891e-01     7.23749e-03     3.98113e-03     3.14109e-02     1.76428e-03    -2.00290e-02
 189     7.33533e-01     6.86418e-03     4.41984e-03     3.08653e-02     1.29895e-03    -2.14238e-02
 190     7.08669e-01     6.63241e-03     4.78563e-03     3.06571e-02     8.62894e-04    -2.20434e-02
 191     6.87032e-01     6.57051e-03     5.04756e-03     3.07830e-02     4.98366e-04    -2.18353e-02
 192     6.70289e-01     6.69071e-03     5.19571e-03     3.12003e-02     2.35804e-04    -2.08366e-02
 193     6.59595e-01     6.98672e-03     5.23861e-03     3.18222e-02     9.15037e-05    -1.91485e-02
 194     6.55604e-01     7.43682e-03     5.20087e-03     3.25357e-02     6.75419e-05    -1.69189e-02
 195     6.58250e-01     8.00493e-03     5.11711e-03     3.32083e-02     1.52842e-04    -1.43166e-02
 196     6.66882e-01     8.64560e-03     5.02700e-03     3.37100e-02     3.25264e-04    -1.15154e-02
 197     6.80254e-01     9.30766e-03     4.96815e-03     3.39259e-02     5.54508e-04    -8.67659e-03
 198     6.96584e-01     9.93840e-03     4.96892e-03     3.37695e-02     8.05774e-04    -5.93632e-03
 199     7.13829e-01     1.04903e-02     5.04313e-03     3.31988e-02     1.04419e-03    -3.39877e-03
 200     7.29895e-01     1.09262e-02     5.18577e-03     3.22221e-02     1.23945e-03    -1.13230e-03
 201     7.42913e-01     1.12235e-02     5.37226e-03     3.08977e-02     1.36992e-03     8.28342e-04
 202     7.51521e-01     1.13775e-02     5.56181e-03     2.93267e-02     1.42539e-03     2.47513e-03
 203     7.55019e-01     1.13998e-02     5.70399e-03     2.76367e-02     1.40753e-03     3.81659e-03
 204     7.53334e-01     1.13144e-02     5.74701e-03     2.59602e-02     1.32801e-03     4.86636e-03
 205     7.47069e-01     1.11537e-02     5.64794e-03     2.44223e-02     1.20512e-03     5.63489e-03
 206     7.37120e-01     1.09495e-02     5.37898e-03     2.31201e-02     1.05903e-03     6.12359e-03
 207     7.24661e-01     1.07304e-02     4.93471e-03     2.21230e-02     9.07987e-04     6.32689e-03
 208     7.10787e-01     1.05162e-02     4.33396e-03     2.14653e-02     7.64792e-04     6.23670e-03
 209     6.96462e-01     1.03173e-02     3.62069e-03     2.11521e-02     6.35205e-04     5.85232e-03
 210     6.82381e-01     1.01348e-02     2.86043e-03     2.11612e-02     5.17688e-04     5.19007e-03
 211     6.68931e-01     9.96235e-03     2.13328e-03     2.14482e-02     4.04884e-04     4.29115e-03
