#    L    TT             EE             BB             TE          
   272   0.374394E+01   0.217521E-01   0.131352E-01  -0.112533E+00
   273   0.364583E+01   0.218846E-01   0.130752E-01  -0.110007E+00
   274   0.354848E+01   0.220125E-01   0.130127E-01  -0.107351E+00
   275   0.345199E+01   0.221357E-01   0.129478E-01  -0.104573E+00
   276   0.335646E+01   0.222540E-01   0.128805E-01  -0.101679E+00
   277   0.326199E+01   0.223669E-01   0.128110E-01  -0.986765E-01
   278   0.316867E+01   0.224744E-01   0.127393E-01  -0.955727E-01
   279   0.307660E+01   0.225761E-01   0.126655E-01  -0.923745E-01
   280   0.298589E+01   0.226719E-01   0.125897E-01  -0.890890E-01
   281   0.289661E+01   0.227614E-01   0.125120E-01  -0.857233E-01
   282   0.280888E+01   0.228445E-01   0.124325E-01  -0.822844E-01
   283   0.272279E+01   0.229208E-01   0.123513E-01  -0.787794E-01
   284   0.263844E+01   0.229901E-01   0.122683E-01  -0.752154E-01
   285   0.255592E+01   0.230523E-01   0.121839E-01  -0.715994E-01
   286   0.247533E+01   0.231070E-01   0.120979E-01  -0.679385E-01
   287   0.239677E+01   0.231539E-01   0.120105E-01  -0.642398E-01
   288   0.232034E+01   0.231929E-01   0.119219E-01  -0.605103E-01
   289   0.224614E+01   0.232238E-01   0.118320E-01  -0.567571E-01
   290   0.217425E+01   0.232461E-01   0.117409E-01  -0.529873E-01
   291   0.210478E+01   0.232598E-01   0.116488E-01  -0.492079E-01
   292   0.203783E+01   0.232645E-01   0.115558E-01  -0.454260E-01
   293   0.197349E+01   0.232601E-01   0.114618E-01  -0.416486E-01
   294   0.191186E+01   0.232462E-01   0.113671E-01  -0.378828E-01
   295   0.185304E+01   0.232226E-01   0.112716E-01  -0.341358E-01
   296   0.179712E+01   0.231891E-01   0.111755E-01  -0.304145E-01
   297   0.174421E+01   0.231454E-01   0.110789E-01  -0.267260E-01
   298   0.169440E+01   0.230914E-01   0.109818E-01  -0.230774E-01
   299   0.164778E+01   0.230266E-01   0.108843E-01  -0.194757E-01
   300   0.160445E+01   0.229509E-01   0.107866E-01  -0.159281E-01
   301   0.156449E+01   0.228642E-01   0.106887E-01  -0.124405E-01
   302   0.152783E+01   0.227667E-01   0.105906E-01  -0.901470E-02
   303   0.149438E+01   0.226587E-01   0.104924E-01  -0.565161E-02
   304   0.146405E+01   0.225406E-01   0.103942E-01  -0.235197E-02
   305   0.143676E+01   0.224128E-01   0.102960E-01   0.883445E-03
   306   0.141242E+01   0.222755E-01   0.101979E-01   0.405383E-02
   307   0.139093E+01   0.221292E-01   0.101000E-01   0.715841E-02
   308   0.137220E+01   0.219742E-01   0.100022E-01   0.101964E-01
   309   0.135615E+01   0.218109E-01   0.990468E-02   0.131670E-01
   310   0.134269E+01   0.216396E-01   0.980748E-02   0.160694E-01
   311   0.133173E+01   0.214606E-01   0.971065E-02   0.189028E-01
   312   0.132318E+01   0.212743E-01   0.961424E-02   0.216665E-01
   313   0.131694E+01   0.210811E-01   0.951830E-02   0.243596E-01
   314   0.131294E+01   0.208813E-01   0.942290E-02   0.269815E-01
   315   0.131108E+01   0.206753E-01   0.932810E-02   0.295311E-01
   316   0.131127E+01   0.204634E-01   0.923394E-02   0.320079E-01
   317   0.131342E+01   0.202459E-01   0.914048E-02   0.344110E-01
   318   0.131744E+01   0.200233E-01   0.904779E-02   0.367396E-01
   319   0.132325E+01   0.197958E-01   0.895591E-02   0.389929E-01
   320   0.133076E+01   0.195639E-01   0.886491E-02   0.411701E-01
   321   0.133986E+01   0.193278E-01   0.877484E-02   0.432705E-01
   322   0.135049E+01   0.190879E-01   0.868576E-02   0.452932E-01
   323   0.136254E+01   0.188447E-01   0.859772E-02   0.472375E-01
   324   0.137593E+01   0.185983E-01   0.851078E-02   0.491026E-01
   325   0.139056E+01   0.183492E-01   0.842499E-02   0.508877E-01
   326   0.140636E+01   0.180978E-01   0.834042E-02   0.525919E-01
   327   0.142322E+01   0.178443E-01   0.825712E-02   0.542146E-01
   328   0.144107E+01   0.175892E-01   0.817514E-02   0.557549E-01
   329   0.145980E+01   0.173328E-01   0.809455E-02   0.572120E-01
   330   0.147934E+01   0.170754E-01   0.801539E-02   0.585852E-01
   331   0.149959E+01   0.168173E-01   0.793774E-02   0.598736E-01
   332   0.152046E+01   0.165591E-01   0.786163E-02   0.610765E-01
   333   0.154186E+01   0.163009E-01   0.778713E-02   0.621931E-01
   334   0.156371E+01   0.160431E-01   0.771430E-02   0.632226E-01
   335   0.158592E+01   0.157862E-01   0.764318E-02   0.641641E-01
   336   0.160839E+01   0.155304E-01   0.757385E-02   0.650170E-01
   337   0.163103E+01   0.152760E-01   0.750635E-02   0.657804E-01
   338   0.165376E+01   0.150236E-01   0.744074E-02   0.664535E-01
   339   0.167649E+01   0.147733E-01   0.737708E-02   0.670356E-01
   340   0.169913E+01   0.145256E-01   0.731542E-02   0.675258E-01
   341   0.172159E+01   0.142808E-01   0.725583E-02   0.679234E-01
   342   0.174378E+01   0.140392E-01   0.719835E-02   0.682276E-01
   343   0.176561E+01   0.138013E-01   0.714304E-02   0.684376E-01
   344   0.178698E+01   0.135673E-01   0.708996E-02   0.685525E-01
   345   0.180782E+01   0.133376E-01   0.703917E-02   0.685717E-01
   346   0.182804E+01   0.131126E-01   0.699073E-02   0.684943E-01
   347   0.184753E+01   0.128926E-01   0.694468E-02   0.683195E-01
   348   0.186622E+01   0.126779E-01   0.690109E-02   0.680466E-01
   349   0.188402E+01   0.124690E-01   0.686001E-02   0.676747E-01
   350   0.190083E+01   0.122661E-01   0.682150E-02   0.672031E-01
   351   0.191658E+01   0.120696E-01   0.678559E-02   0.666317E-01
   352   0.193128E+01   0.118794E-01   0.675224E-02   0.659635E-01
   353   0.194492E+01   0.116956E-01   0.672136E-02   0.652020E-01
   354   0.195754E+01   0.115180E-01   0.669289E-02   0.643509E-01
   355   0.196913E+01   0.113465E-01   0.666675E-02   0.634139E-01
   356   0.197973E+01   0.111812E-01   0.664286E-02   0.623946E-01
   357   0.198933E+01   0.110220E-01   0.662117E-02   0.612967E-01
   358   0.199795E+01   0.108688E-01   0.660158E-02   0.601238E-01
   359   0.200561E+01   0.107215E-01   0.658402E-02   0.588795E-01
   360   0.201232E+01   0.105802E-01   0.656844E-02   0.575676E-01
   361   0.201810E+01   0.104446E-01   0.655474E-02   0.561916E-01
   362   0.202295E+01   0.103149E-01   0.654285E-02   0.547552E-01
   363   0.202690E+01   0.101909E-01   0.653271E-02   0.532621E-01
   364   0.202995E+01   0.100725E-01   0.652424E-02   0.517158E-01
   365   0.203213E+01   0.995974E-02   0.651736E-02   0.501201E-01
   366   0.203343E+01   0.985253E-02   0.651201E-02   0.484786E-01
   367   0.203389E+01   0.975082E-02   0.650810E-02   0.467949E-01
   368   0.203351E+01   0.965453E-02   0.650557E-02   0.450727E-01
   369   0.203230E+01   0.956362E-02   0.650433E-02   0.433157E-01
   370   0.203028E+01   0.947802E-02   0.650433E-02   0.415274E-01
   371   0.202747E+01   0.939768E-02   0.650548E-02   0.397116E-01
   372   0.202387E+01   0.932254E-02   0.650771E-02   0.378718E-01
   373   0.201951E+01   0.925254E-02   0.651094E-02   0.360118E-01
   374   0.201439E+01   0.918763E-02   0.651511E-02   0.341351E-01
   375   0.200853E+01   0.912774E-02   0.652014E-02   0.322455E-01
   376   0.200194E+01   0.907282E-02   0.652595E-02   0.303465E-01
   377   0.199464E+01   0.902281E-02   0.653248E-02   0.284418E-01
   378   0.198664E+01   0.897765E-02   0.653964E-02   0.265351E-01
   379   0.197795E+01   0.893729E-02   0.654737E-02   0.246300E-01
   380   0.196860E+01   0.890166E-02   0.655559E-02   0.227302E-01
   381   0.195858E+01   0.887071E-02   0.656423E-02   0.208392E-01
   382   0.194792E+01   0.884438E-02   0.657322E-02   0.189608E-01
   383   0.193663E+01   0.882261E-02   0.658247E-02   0.170987E-01
   384   0.192473E+01   0.880535E-02   0.659192E-02   0.152563E-01
   385   0.191222E+01   0.879253E-02   0.660150E-02   0.134375E-01
   386   0.189912E+01   0.878409E-02   0.661112E-02   0.116458E-01
   387   0.188545E+01   0.877999E-02   0.662072E-02   0.988489E-02
   388   0.187122E+01   0.878016E-02   0.663023E-02   0.815842E-02
   389   0.185644E+01   0.878455E-02   0.663956E-02   0.647004E-02
   390   0.184113E+01   0.879309E-02   0.664865E-02   0.482339E-02
