#    L    TT             EE             BB             TE         
   217    5.72833E+03    7.97124E-01    3.63815E-04    8.99974E+00
   218    5.73030E+03    8.16103E-01    3.64656E-04    1.05722E+01
   219    5.73164E+03    8.36570E-01    3.65611E-04    1.21573E+01
   220    5.73236E+03    8.58555E-01    3.66672E-04    1.37546E+01
   221    5.73245E+03    8.82086E-01    3.67832E-04    1.53632E+01
   222    5.73191E+03    9.07208E-01    3.69082E-04    1.69829E+01
   223    5.73074E+03    9.33944E-01    3.70415E-04    1.86126E+01
   224    5.72894E+03    9.62331E-01    3.71824E-04    2.02520E+01
   225    5.72652E+03    9.92391E-01    3.73300E-04    2.19002E+01
   226    5.72347E+03    1.02417E+00    3.74835E-04    2.35567E+01
   227    5.71980E+03    1.05769E+00    3.76423E-04    2.52207E+01
   228    5.71550E+03    1.09299E+00    3.78054E-04    2.68916E+01
   229    5.71059E+03    1.13009E+00    3.79722E-04    2.85686E+01
   230    5.70505E+03    1.16902E+00    3.81419E-04    3.02512E+01
   231    5.69890E+03    1.20981E+00    3.83136E-04    3.19386E+01
   232    5.69213E+03    1.25249E+00    3.84867E-04    3.36300E+01
   233    5.68475E+03    1.29708E+00    3.86603E-04    3.53249E+01
   234    5.67675E+03    1.34361E+00    3.88336E-04    3.70223E+01
   235    5.66814E+03    1.39211E+00    3.90059E-04    3.87218E+01
   236    5.65892E+03    1.44262E+00    3.91765E-04    4.04225E+01
   237    5.64910E+03    1.49512E+00    3.93444E-04    4.21236E+01
   238    5.63868E+03    1.54967E+00    3.95090E-04    4.38245E+01
   239    5.62766E+03    1.60627E+00    3.96695E-04    4.55245E+01
   240    5.61605E+03    1.66495E+00    3.98251E-04    4.72226E+01
   241    5.60383E+03    1.72574E+00    3.99750E-04    4.89183E+01
   242    5.59104E+03    1.78864E+00    4.01185E-04    5.06108E+01
   243    5.57766E+03    1.85369E+00    4.02548E-04    5.22993E+01
   244    5.56370E+03    1.92089E+00    4.03830E-04    5.39831E+01
   245    5.54917E+03    1.99026E+00    4.05024E-04    5.56616E+01
   246    5.53408E+03    2.06182E+00    4.06123E-04    5.73339E+01
   247    5.51841E+03    2.13558E+00    4.07119E-04    5.89994E+01
   248    5.50221E+03    2.21156E+00    4.08004E-04    6.06572E+01
   249    5.48545E+03    2.28976E+00    4.08769E-04    6.23068E+01
   250    5.46814E+03    2.37022E+00    4.09408E-04    6.39473E+01
   251    5.45030E+03    2.45291E+00    4.09915E-04    6.55779E+01
   252    5.43191E+03    2.53786E+00    4.10289E-04    6.71978E+01
   253    5.41298E+03    2.62506E+00    4.10535E-04    6.88062E+01
   254    5.39353E+03    2.71454E+00    4.10653E-04    7.04024E+01
   255    5.37353E+03    2.80629E+00    4.10648E-04    7.19855E+01
   256    5.35302E+03    2.90031E+00    4.10521E-04    7.35548E+01
   257    5.33198E+03    2.99662E+00    4.10275E-04    7.51097E+01
   258    5.31045E+03    3.09519E+00    4.09913E-04    7.66492E+01
   259    5.28842E+03    3.19606E+00    4.09437E-04    7.81736E+01
   260    5.26592E+03    3.29920E+00    4.08849E-04    7.96809E+01
   261    5.24295E+03    3.40462E+00    4.08153E-04    8.11717E+01
   262    5.21953E+03    3.51232E+00    4.07351E-04    8.26445E+01
   263    5.19567E+03    3.62230E+00    4.06445E-04    8.40994E+01
   264    5.17137E+03    3.73454E+00    4.05439E-04    8.55348E+01
   265    5.14665E+03    3.84905E+00    4.04334E-04    8.69516E+01
   266    5.12149E+03    3.96580E+00    4.03132E-04    8.83474E+01
   267    5.09593E+03    4.08478E+00    4.01838E-04    8.97216E+01
   268    5.06996E+03    4.20599E+00    4.00453E-04    9.10749E+01
   269    5.04357E+03    4.32942E+00    3.98980E-04    9.24051E+01
   270    5.01679E+03    4.45504E+00    3.97421E-04    9.37129E+01
   271    4.98962E+03    4.58285E+00    3.95779E-04    9.49960E+01
   272    4.96207E+03    4.71284E+00    3.94057E-04    9.62553E+01
   273    4.93416E+03    4.84495E+00    3.92257E-04    9.74893E+01
   274    4.90588E+03    4.97921E+00    3.90382E-04    9.86986E+01
   275    4.87726E+03    5.11556E+00    3.88433E-04    9.98812E+01
   276    4.84831E+03    5.25401E+00    3.86415E-04    1.01038E+02
   277    4.81903E+03    5.39453E+00    3.84329E-04    1.02167E+02
   278    4.78943E+03    5.53708E+00    3.82178E-04    1.03267E+02
   279    4.75953E+03    5.68165E+00    3.79964E-04    1.04340E+02
   280    4.72934E+03    5.82820E+00    3.77691E-04    1.05384E+02
   281    4.69886E+03    5.97670E+00    3.75360E-04    1.06399E+02
   282    4.66811E+03    6.12713E+00    3.72975E-04    1.07384E+02
   283    4.63710E+03    6.27945E+00    3.70537E-04    1.08339E+02
   284    4.60583E+03    6.43364E+00    3.68050E-04    1.09262E+02
   285    4.57432E+03    6.58965E+00    3.65515E-04    1.10155E+02
   286    4.54257E+03    6.74746E+00    3.62936E-04    1.11016E+02
   287    4.51061E+03    6.90702E+00    3.60316E-04    1.11844E+02
   288    4.47843E+03    7.06830E+00    3.57655E-04    1.12640E+02
   289    4.44605E+03    7.23126E+00    3.54958E-04    1.13403E+02
   290    4.41349E+03    7.39587E+00    3.52227E-04    1.14133E+02
   291    4.38075E+03    7.56209E+00    3.49464E-04    1.14829E+02
   292    4.34784E+03    7.72979E+00    3.46672E-04    1.15490E+02
   293    4.31477E+03    7.89906E+00    3.43854E-04    1.16118E+02
   294    4.28155E+03    8.06981E+00    3.41011E-04    1.16709E+02
   295    4.24819E+03    8.24189E+00    3.38148E-04    1.17266E+02
   296    4.21470E+03    8.41539E+00    3.35265E-04    1.17787E+02
   297    4.18108E+03    8.59014E+00    3.32366E-04    1.18271E+02
   298    4.14735E+03    8.76616E+00    3.29453E-04    1.18719E+02
   299    4.11352E+03    8.94336E+00    3.26530E-04    1.19130E+02
   300    4.07960E+03    9.12168E+00    3.23597E-04    1.19504E+02
   301    4.04561E+03    9.30118E+00    3.20659E-04    1.19841E+02
   302    4.01155E+03    9.48164E+00    3.17716E-04    1.20141E+02
   303    3.97744E+03    9.66314E+00    3.14771E-04    1.20404E+02
   304    3.94329E+03    9.84560E+00    3.11825E-04    1.20629E+02
   305    3.90911E+03    1.00290E+01    3.08879E-04    1.20817E+02
   306    3.87491E+03    1.02132E+01    3.05937E-04    1.20967E+02
   307    3.84070E+03    1.03982E+01    3.02998E-04    1.21079E+02
   308    3.80650E+03    1.05839E+01    3.00065E-04    1.21153E+02
   309    3.77231E+03    1.07703E+01    2.97140E-04    1.21189E+02
   310    3.73814E+03    1.09572E+01    2.94224E-04    1.21187E+02
   311    3.70400E+03    1.11446E+01    2.91319E-04    1.21146E+02
   312    3.66989E+03    1.13326E+01    2.88426E-04    1.21067E+02
   313    3.63585E+03    1.15209E+01    2.85548E-04    1.20949E+02
   314    3.60186E+03    1.17096E+01    2.82687E-04    1.20793E+02
   315    3.56794E+03    1.18985E+01    2.79842E-04    1.20598E+02
