#    L    TT             EE             BB             TE          
   309   0.377459E+04   0.107930E+02   0.990547E-02   0.121237E+03
   310   0.374037E+04   0.109791E+02   0.980826E-02   0.121240E+03
   311   0.370623E+04   0.111675E+02   0.971142E-02   0.121197E+03
   312   0.367216E+04   0.113551E+02   0.961500E-02   0.121124E+03
   313   0.363810E+04   0.115434E+02   0.951905E-02   0.121005E+03
   314   0.360412E+04   0.117325E+02   0.942365E-02   0.120856E+03
   315   0.357021E+04   0.119209E+02   0.932884E-02   0.120661E+03
   316   0.353638E+04   0.121100E+02   0.923467E-02   0.120429E+03
   317   0.350263E+04   0.122983E+02   0.914121E-02   0.120158E+03
   318   0.346896E+04   0.124882E+02   0.904851E-02   0.119850E+03
   319   0.343544E+04   0.126773E+02   0.895663E-02   0.119503E+03
   320   0.340207E+04   0.128664E+02   0.886562E-02   0.119126E+03
   321   0.336878E+04   0.130563E+02   0.877554E-02   0.118703E+03
   322   0.333564E+04   0.132446E+02   0.868645E-02   0.118243E+03
   323   0.330266E+04   0.134330E+02   0.859841E-02   0.117744E+03
   324   0.326982E+04   0.136221E+02   0.851146E-02   0.117200E+03
   325   0.323722E+04   0.138082E+02   0.842567E-02   0.116633E+03
   326   0.320469E+04   0.139958E+02   0.834109E-02   0.116013E+03
   327   0.317239E+04   0.141827E+02   0.825779E-02   0.115362E+03
   328   0.314031E+04   0.143680E+02   0.817581E-02   0.114681E+03
   329   0.310839E+04   0.145534E+02   0.809521E-02   0.113954E+03
   330   0.307669E+04   0.147372E+02   0.801605E-02   0.113190E+03
   331   0.304530E+04   0.149203E+02   0.793839E-02   0.112394E+03
   332   0.301406E+04   0.151034E+02   0.786228E-02   0.111568E+03
   333   0.298305E+04   0.152850E+02   0.778778E-02   0.110704E+03
   334   0.295233E+04   0.154658E+02   0.771494E-02   0.109802E+03
   335   0.292177E+04   0.156444E+02   0.764382E-02   0.108862E+03
   336   0.289152E+04   0.158222E+02   0.757449E-02   0.107892E+03
   337   0.286156E+04   0.159992E+02   0.750699E-02   0.106875E+03
   338   0.283183E+04   0.161740E+02   0.744137E-02   0.105836E+03
   339   0.280248E+04   0.163488E+02   0.737771E-02   0.104759E+03
   340   0.277336E+04   0.165213E+02   0.731605E-02   0.103658E+03
   341   0.274446E+04   0.166916E+02   0.725645E-02   0.102512E+03
   342   0.271594E+04   0.168619E+02   0.719897E-02   0.101335E+03
   343   0.268772E+04   0.170291E+02   0.714366E-02   0.100128E+03
   344   0.265988E+04   0.171948E+02   0.709059E-02   0.988897E+02
   345   0.263226E+04   0.173583E+02   0.703979E-02   0.976210E+02
   346   0.260502E+04   0.175210E+02   0.699135E-02   0.963291E+02
   347   0.257809E+04   0.176807E+02   0.694530E-02   0.949992E+02
   348   0.255153E+04   0.178382E+02   0.690170E-02   0.936385E+02
   349   0.252527E+04   0.179941E+02   0.686062E-02   0.922472E+02
   350   0.249939E+04   0.181470E+02   0.682211E-02   0.908327E+02
   351   0.247403E+04   0.182984E+02   0.678621E-02   0.893875E+02
   352   0.244883E+04   0.184475E+02   0.675285E-02   0.879117E+02
   353   0.242408E+04   0.185936E+02   0.672197E-02   0.864201E+02
   354   0.239963E+04   0.187375E+02   0.669350E-02   0.848905E+02
   355   0.237564E+04   0.188791E+02   0.666736E-02   0.833377E+02
   356   0.235202E+04   0.190184E+02   0.664348E-02   0.817693E+02
   357   0.232878E+04   0.191547E+02   0.662178E-02   0.801703E+02
   358   0.230599E+04   0.192872E+02   0.660219E-02   0.785557E+02
   359   0.228350E+04   0.194175E+02   0.658464E-02   0.769106E+02
   360   0.226147E+04   0.195455E+02   0.656905E-02   0.752462E+02
   361   0.223982E+04   0.196705E+02   0.655535E-02   0.735580E+02
   362   0.221861E+04   0.197924E+02   0.654347E-02   0.718491E+02
   363   0.219779E+04   0.199121E+02   0.653333E-02   0.701217E+02
   364   0.217742E+04   0.200273E+02   0.652486E-02   0.683721E+02
   365   0.215742E+04   0.201403E+02   0.651798E-02   0.666062E+02
   366   0.213788E+04   0.202502E+02   0.651262E-02   0.648212E+02
   367   0.211879E+04   0.203556E+02   0.650872E-02   0.630193E+02
